article_source,sirens,source_invoice_ids_count,source_invoice_ids_sample,compte_comptable
Pack de 100.00 € de crédit lavage a valoir sur les stations partenaires,839181104,10,fr_bd_839181104:033df70b-36ed-4c3a-80a7-9f33f85f1192 | fr_bd_839181104:0807c384-fa0e-444c-8714-9107bed23f64 | fr_bd_839181104:11f78b32-366d-4ade-aa2c-06a4c27ed00b | fr_bd_839181104:314a2fbe-ff88-4515-97ca-05d3c42308fc | fr_bd_839181104:43ca085f-09f8-4604-855d-afb83079643c,6068
Bbox fibre jusqu'à 1 Gb/s (du 02/02 au 01/03),839181104,5,fr_bd_839181104:01b75b3e-ba41-4ff3-9775-3a396a155722 | fr_bd_839181104:0f011073-c51c-41d0-a454-c707353fe32a | fr_bd_839181104:32af0c29-62ad-4cfc-997b-7417fbcd1ea4 | fr_bd_839181104:36f4fa98-0fd3-4c80-a42d-b954b0e1288c | fr_bd_839181104:5dd340d0-7835-43b2-b246-3bb243a237fd,6064
Bbox fibre jusqu'a1 Gb/s (du 02/12 au 01/01),839181104,5,fr_bd_839181104:12a8582a-3a3e-46f9-ba6d-7df7728f4078 | fr_bd_839181104:23689a6d-9c29-4e84-a06f-2c724d935cd3 | fr_bd_839181104:435874c6-0233-4caa-91d9-74e093e8310f | fr_bd_839181104:4f97acc8-cc52-4900-9388-81c5df24748a | fr_bd_839181104:6f19a5e2-1abc-424f-b2a3-1376454e4985,6061
Evolution d'offre - Appels illimités mobiles France (du 02/04 au 01/05),839181104,5,fr_bd_839181104:12a8582a-3a3e-46f9-ba6d-7df7728f4078 | fr_bd_839181104:2a81b74a-6e49-465b-bdc1-9c76eac49bf0 | fr_bd_839181104:3f25dd03-ea34-4f25-b607-6ffc9faa8d03 | fr_bd_839181104:4f97acc8-cc52-4900-9388-81c5df24748a | fr_bd_839181104:6f19a5e2-1abc-424f-b2a3-1376454e4985,6061
APPLE.COM/BILL LE 21/01/24 REF CB.XXXXX0648,839181104,1,fr_bd_839181104:2c8d626c-8758-4ad6-84fe-d56952bab7c8,606100
Offre Spéciale Appels illimités mobiles Europe (du 02/02 au 01/03),839181104,5,fr_bd_839181104:01b75b3e-ba41-4ff3-9775-3a396a155722 | fr_bd_839181104:32af0c29-62ad-4cfc-997b-7417fbcd1ea4 | fr_bd_839181104:5dd340d0-7835-43b2-b246-3bb243a237fd | fr_bd_839181104:685b419f-3e68-408f-981e-e32590d39aaa | fr_bd_839181104:8abc55cc-2127-4a3d-bee0-b22f103d7fcd,6064
Remise offre couplage,824332985,6,fr_bd_824332985:00c00192-b9ed-4b66-8f18-c85c5b99d74f | fr_bd_824332985:dec17486-36f5-49e4-aadb-f9437dbd3086 | fr_bd_824332985:dfec6c45-c1fa-4b3a-a232-14e165cb7b82 | fr_bd_824332985:06312d8c-aaaa-4582-ac5e-505c48d8b684 | fr_bd_824332985:43c96396-fd0d-4d70-876c-a9349aa16c22,6068
Vos services fournis par votre opérateur,"831060876,839181104",10,fr_bd_839181104:27e18405-38db-4481-b990-01bd5a65cda9 | fr_bd_839181104:4c9c6b11-2ab0-4adf-80b7-ca911907a22d | fr_bd_839181104:670b2ee4-921e-4fdf-bfd1-bd3c81cb51e1 | fr_bd_839181104:73513c34-2cba-4a5c-b4c0-328764a712a9 | fr_bd_839181104:9034f781-1021-403f-a679-046140b4b08b,606100
Bbox - location équipement (du 02/08 au 01/09),839181104,5,fr_bd_839181104:2fff8267-edff-4078-b11a-37f0030a1737 | fr_bd_839181104:35101149-0232-46a0-89d4-fb7b976e9805 | fr_bd_839181104:50c556e2-da05-45cd-80a4-ec5fa9c34418 | fr_bd_839181104:6060f42a-c70f-4133-b944-a9d2e32bd3db | fr_bd_839181104:6edfff7b-83a4-44ad-8f1b-f5098f4d45ed,606100
Evolution d'offre - Appels illimités mobiles France_ (du 02/09 au 01/10),839181104,5,fr_bd_839181104:02eaf9aa-ed1d-4647-9ce0-ac278150ef04 | fr_bd_839181104:0f011073-c51c-41d0-a454-c707353fe32a | fr_bd_839181104:36f4fa98-0fd3-4c80-a42d-b954b0e1288c | fr_bd_839181104:643833c5-a1ca-45d9-8efa-df4c7c1cad6b | fr_bd_839181104:8bcad434-692c-489c-90e5-fe12b20bd76d,6064
Frais de service pour les courses Uber,824332985,9,fr_bd_824332985:22316fef-342b-4b8b-8e57-14674b28907d | fr_bd_824332985:572a43fe-22b3-4cd2-bd21-eba48ecbc5eb | fr_bd_824332985:773ea318-d48d-49e7-b3c4-5222adb3dfb8 | fr_bd_824332985:8f8dd4d8-0e83-47d1-be18-8157418ef717 | fr_bd_824332985:ca539470-515d-4f9e-acdc-5ddb35cc7fd8,606100
GALET DE RENVOI,839181104,2,fr_bd_839181104:24dee091-5e2c-42d7-bcf5-633036f27d0e | fr_bd_839181104:baa533f1-ba21-4f51-a27d-1847e34beaf4,6063
Multi-TV FTTH (du 02/08 au 01/09),839181104,5,fr_bd_839181104:2fff8267-edff-4078-b11a-37f0030a1737 | fr_bd_839181104:35101149-0232-46a0-89d4-fb7b976e9805 | fr_bd_839181104:50c556e2-da05-45cd-80a4-ec5fa9c34418 | fr_bd_839181104:6060f42a-c70f-4133-b944-a9d2e32bd3db | fr_bd_839181104:6edfff7b-83a4-44ad-8f1b-f5098f4d45ed,606100
Prix de la course (frais de service Uber inclus),824332985,9,fr_bd_824332985:22316fef-342b-4b8b-8e57-14674b28907d | fr_bd_824332985:572a43fe-22b3-4cd2-bd21-eba48ecbc5eb | fr_bd_824332985:773ea318-d48d-49e7-b3c4-5222adb3dfb8 | fr_bd_824332985:8f8dd4d8-0e83-47d1-be18-8157418ef717 | fr_bd_824332985:ca539470-515d-4f9e-acdc-5ddb35cc7fd8,606100
Remise sur abonnement - Bbox (du 02/08 au 01/09),839181104,5,fr_bd_839181104:2fff8267-edff-4078-b11a-37f0030a1737 | fr_bd_839181104:35101149-0232-46a0-89d4-fb7b976e9805 | fr_bd_839181104:50c556e2-da05-45cd-80a4-ec5fa9c34418 | fr_bd_839181104:6060f42a-c70f-4133-b944-a9d2e32bd3db | fr_bd_839181104:6edfff7b-83a4-44ad-8f1b-f5098f4d45ed,606100
CADRE DE CALANDRE,839181104,3,fr_bd_839181104:231e61cc-2a4b-48fa-ab40-b84fa9d78cc6 | fr_bd_839181104:3524efe6-e397-4f33-869b-3d6795fc8137 | fr_bd_839181104:f256b17b-2cc4-4024-a519-4e0db6ba770f,60620000
Carte 1021245 apple.com/bill le 21/08/23 cb.xxx xx0648 origine irl 854 eur,839181104,1,fr_bd_839181104:2c8d626c-8758-4ad6-84fe-d56952bab7c8,606100
Divers,824332985,9,fr_bd_824332985:22316fef-342b-4b8b-8e57-14674b28907d | fr_bd_824332985:773ea318-d48d-49e7-b3c4-5222adb3dfb8 | fr_bd_824332985:8f8dd4d8-0e83-47d1-be18-8157418ef717 | fr_bd_824332985:ca539470-515d-4f9e-acdc-5ddb35cc7fd8 | fr_bd_824332985:d8bbd5c5-9405-4b7a-94ed-0e7f813223f2,606800
Gazole Premier,824332985,9,fr_bd_824332985:31c867f1-149c-43a4-a077-00646dae00a9 | fr_bd_824332985:781cef06-d6e5-4d1f-a9d7-7e44cd7a165d | fr_bd_824332985:a4af1a26-ef14-43dc-b7c4-2d3f31d2517c | fr_bd_824332985:ba988ecc-4635-4b52-ac51-b6ac809b6f35 | fr_bd_824332985:dec7d386-2855-4fb4-876a-4419742e178d,6063
Redevance OTC,839181104,7,fr_bd_839181104:6a503dac-2e59-46d4-aa9d-7877a728737e | fr_bd_839181104:adc6998b-5b71-4743-85ab-0bccb90586d3 | fr_bd_839181104:c7b924bd-e5b2-4838-a1c2-ebf7225c1bb5 | fr_bd_839181104:cbadadea-d523-4c9f-9610-aa3c3109d220 | fr_bd_839181104:dc554816-330a-4b97-a482-d7df1bcdc9b6,6068
SACHET SULTAN NUGGETS,839181104,5,fr_bd_839181104:2f36171b-bca5-4c4a-8a7c-20dfa4b0f5c7 | fr_bd_839181104:31a0b787-bbd4-4ddd-bec2-6c47d7d9500a | fr_bd_839181104:70bc7460-3b0b-473d-9e0d-d29992b1a9f1 | fr_bd_839181104:aa657635-264e-4a4e-98c3-860690759f83 | fr_bd_839181104:c4de30e8-881e-487c-b656-4d3cf7a05e8e,6068
SLIM HAMOUD BLANCHE 12X33CL,839181104,5,fr_bd_839181104:2f36171b-bca5-4c4a-8a7c-20dfa4b0f5c7 | fr_bd_839181104:31a0b787-bbd4-4ddd-bec2-6c47d7d9500a | fr_bd_839181104:70bc7460-3b0b-473d-9e0d-d29992b1a9f1 | fr_bd_839181104:aa657635-264e-4a4e-98c3-860690759f83 | fr_bd_839181104:c4de30e8-881e-487c-b656-4d3cf7a05e8e,6068
SMS/MMS vers l'international,839181104,10,fr_bd_839181104:37a5354f-fc75-4285-a04f-6606d2194ff5 | fr_bd_839181104:670b2ee4-921e-4fdf-bfd1-bd3c81cb51e1 | fr_bd_839181104:cb1411a2-35da-40a0-84b9-86d92080120a | fr_bd_839181104:e2d5e4c6-1099-4ebc-94d9-b78351ace355 | fr_bd_839181104:f73d918b-0d33-4a77-afb4-85db91731644,606100
SUPPORT,839181104,3,fr_bd_839181104:231e61cc-2a4b-48fa-ab40-b84fa9d78cc6 | fr_bd_839181104:3524efe6-e397-4f33-869b-3d6795fc8137 | fr_bd_839181104:f256b17b-2cc4-4024-a519-4e0db6ba770f,60620000
SYSTEME REGULATION D AIR,839181104,3,fr_bd_839181104:231e61cc-2a4b-48fa-ab40-b84fa9d78cc6 | fr_bd_839181104:3524efe6-e397-4f33-869b-3d6795fc8137 | fr_bd_839181104:f256b17b-2cc4-4024-a519-4e0db6ba770f,60620000
TRAVERSE,839181104,3,fr_bd_839181104:231e61cc-2a4b-48fa-ab40-b84fa9d78cc6 | fr_bd_839181104:3524efe6-e397-4f33-869b-3d6795fc8137 | fr_bd_839181104:f256b17b-2cc4-4024-a519-4e0db6ba770f,60620000
TV by Canal Panorama,824332985,5,fr_bd_824332985:00c00192-b9ed-4b66-8f18-c85c5b99d74f | fr_bd_824332985:dec17486-36f5-49e4-aadb-f9437dbd3086 | fr_bd_824332985:f3bf3bf7-f890-476f-8bc9-2baba92340ec | fr_bd_824332985:06312d8c-aaaa-4582-ac5e-505c48d8b684 | fr_bd_824332985:43c96396-fd0d-4d70-876c-a9349aa16c22,6068
Visite technique périodique,839181104,7,fr_bd_839181104:6a503dac-2e59-46d4-aa9d-7877a728737e | fr_bd_839181104:adc6998b-5b71-4743-85ab-0bccb90586d3 | fr_bd_839181104:c7b924bd-e5b2-4838-a1c2-ebf7225c1bb5 | fr_bd_839181104:cbadadea-d523-4c9f-9610-aa3c3109d220 | fr_bd_839181104:dc554816-330a-4b97-a482-d7df1bcdc9b6,6068
communications vers l'international,839181104,10,fr_bd_839181104:27f5015e-ac48-4f27-af1a-add533f7efc8 | fr_bd_839181104:37a5354f-fc75-4285-a04f-6606d2194ff5 | fr_bd_839181104:670b2ee4-921e-4fdf-bfd1-bd3c81cb51e1 | fr_bd_839181104:cb1411a2-35da-40a0-84b9-86d92080120a | fr_bd_839181104:e2d5e4c6-1099-4ebc-94d9-b78351ace355,606100
AdBlue Pompe,824332985,9,fr_bd_824332985:012e6c68-0dc0-4866-b665-177b2d2d72f8 | fr_bd_824332985:2f31a6fa-b85d-4b18-83b9-e4c369475d5b | fr_bd_824332985:6465027b-5b16-4465-b881-4e4524c19e70 | fr_bd_824332985:b34831cd-2c5c-4a7a-a6ff-17485c4edbfd | fr_bd_824332985:ba988ecc-4635-4b52-ac51-b6ac809b6f35,6063
CAPTEUR D'USURE,"824332985,839181104",9,fr_bd_839181104:4f21d748-62b5-4e21-98fc-3dfa53b23900 | fr_bd_839181104:def27868-2a83-4a65-8752-0f85199cf04c | fr_bd_839181104:f1b3dd25-637b-4cde-956f-23e1dcfad510 | fr_bd_839181104:2ec3664c-792e-438a-8699-fff8e46292e9 | fr_bd_839181104:dd776d5a-19e4-4947-854b-e713b9dbb25f,60620000
Disney+ Premium (du 28/11 au 27/12),831060876,5,fr_bd_831060876:222b1e2a-d130-4e6f-b987-98f9396e5957 | fr_bd_831060876:4be360f8-1ff6-4e93-b490-0978a2155757 | fr_bd_831060876:b6a79fde-ea08-4999-b165-040dbf778924 | fr_bd_831060876:d6a336c1-0669-40f2-bca6-427ba4c0f160 | fr_bd_831060876:f1204507-baa2-483b-b2d8-1ad3a9898448,6068
Effectuer un essai sur route,839181104,10,fr_bd_839181104:24dee091-5e2c-42d7-bcf5-633036f27d0e | fr_bd_839181104:2ec3664c-792e-438a-8699-fff8e46292e9 | fr_bd_839181104:9c2b78bd-6554-4a2e-921e-b318065ec19c | fr_bd_839181104:9de9581f-69fb-4d78-8621-22fa33e0b332 | fr_bd_839181104:baa533f1-ba21-4f51-a27d-1847e34beaf4,6062
Effectuer un test rapide,839181104,10,fr_bd_839181104:231e61cc-2a4b-48fa-ab40-b84fa9d78cc6 | fr_bd_839181104:3524efe6-e397-4f33-869b-3d6795fc8137 | fr_bd_839181104:4f21d748-62b5-4e21-98fc-3dfa53b23900 | fr_bd_839181104:def27868-2a83-4a65-8752-0f85199cf04c | fr_bd_839181104:f256b17b-2cc4-4024-a519-4e0db6ba770f,60620000
33LS PIN POINT 1 43,839181104,2,fr_bd_839181104:c5e2bd3d-23b8-4a1d-a0ff-1d1feae9b7f0 | fr_bd_839181104:e4e5a076-1c83-4f97-88a3-0344d207036e,606200
Avantage Internet 100Go 3 euros + majelan inclus,824332985,6,fr_bd_824332985:0c85539c-7841-4d9b-baae-4eaca3820d31 | fr_bd_824332985:42690104-78f1-419e-b3f3-a07ceba4acbe | fr_bd_824332985:5336c796-be93-4e75-9d4a-0e5c8f7ca156 | fr_bd_824332985:efeeaf91-0313-4752-a68a-b94a919db94b | fr_bd_824332985:8c0547e0-a811-4a34-b945-cdc82a5b44eb,6061
Avantage Internet 60Go 3 euros + majelan inclus,839181104,9,fr_bd_839181104:05dc335f-de44-488c-ad1c-9112d519eef9 | fr_bd_839181104:89436f32-d643-47ea-8974-c102bf283abd | fr_bd_839181104:eb880f40-8d3f-47a7-bf25-56b5aa028c91 | fr_bd_839181104:0095d339-71d4-477c-85dc-5bdf4a987d95 | fr_bd_839181104:59e03184-d011-4d35-aa25-77fa5873f0ab,606100
Avantage client box,831060876,10,fr_bd_831060876:301180f9-bbbc-4177-a903-575b18ad81a2 | fr_bd_831060876:586e8001-6d2b-476b-971b-b0e80ecc66e8 | fr_bd_831060876:bdb67c38-0f71-48ab-84fb-eb9fe8033010 | fr_bd_831060876:3c182467-a35e-4096-b106-2d2913202b5e | fr_bd_831060876:56fd18db-1f17-43eb-a468-75f900e039e8,6061
Bbox fibre jusqu'a1 Gb/s (du 02/08 au 01/09),839181104,4,fr_bd_839181104:2fff8267-edff-4078-b11a-37f0030a1737 | fr_bd_839181104:35101149-0232-46a0-89d4-fb7b976e9805 | fr_bd_839181104:cdacc385-1401-4901-9166-38b7679f40d2 | fr_bd_839181104:d6730cbb-cbd9-4ff1-a87c-c7521c39c7a7,606100
CRISTALINE EAU DE SOURCE 24X50CL,839181104,4,fr_bd_839181104:9c8b710f-8db4-4360-8940-09614a5afe5a | fr_bd_839181104:aa657635-264e-4a4e-98c3-860690759f83 | fr_bd_839181104:c4de30e8-881e-487c-b656-4d3cf7a05e8e | fr_bd_839181104:ebb1d3a9-ee99-4d4f-be7c-71ab6bf50d5a,6068
Chaines de télé payantes - FREEBOX TV Bouquet Maghreb,824332985,3,fr_bd_824332985:00c00192-b9ed-4b66-8f18-c85c5b99d74f | fr_bd_824332985:dec17486-36f5-49e4-aadb-f9437dbd3086 | fr_bd_824332985:f3bf3bf7-f890-476f-8bc9-2baba92340ec,6068
DS FORFAIT DOSE LG (PDP+PD),839181104,10,fr_bd_839181104:2ec3664c-792e-438a-8699-fff8e46292e9 | fr_bd_839181104:5ad9fe47-8a27-404b-926d-96c008c0fe69 | fr_bd_839181104:63c4f300-dc0b-4a95-a4df-d21295501ca7 | fr_bd_839181104:dd776d5a-19e4-4947-854b-e713b9dbb25f | fr_bd_839181104:87f4cf8e-677e-4507-ad7d-61c7f2da0367,6062
"Déposer, poser, remplacer selon constat 4 garnitures de frein de l'essieu avant (Roues completes démontées) Sur véh. avec étrier fixe",839181104,2,fr_bd_839181104:4f21d748-62b5-4e21-98fc-3dfa53b23900 | fr_bd_839181104:def27868-2a83-4a65-8752-0f85199cf04c,60620000
Evolution d'offre - Appels illimités mobiles France_ (du 02/08 au 01/09),839181104,4,fr_bd_839181104:2fff8267-edff-4078-b11a-37f0030a1737 | fr_bd_839181104:6060f42a-c70f-4133-b944-a9d2e32bd3db | fr_bd_839181104:cdacc385-1401-4901-9166-38b7679f40d2 | fr_bd_839181104:d6730cbb-cbd9-4ff1-a87c-c7521c39c7a7,606100
Forfait B&You client 170Go 5G,824332985,6,fr_bd_824332985:0c85539c-7841-4d9b-baae-4eaca3820d31 | fr_bd_824332985:42690104-78f1-419e-b3f3-a07ceba4acbe | fr_bd_824332985:5336c796-be93-4e75-9d4a-0e5c8f7ca156 | fr_bd_824332985:efeeaf91-0313-4752-a68a-b94a919db94b | fr_bd_824332985:8c0547e0-a811-4a34-b945-cdc82a5b44eb,6061
Forfait Spécial client 350Go 5G Av. smartphone,839181104,7,fr_bd_839181104:5cb56031-1548-4a7e-a7e8-2cf8a3b16221 | fr_bd_839181104:7662b339-648a-4135-af80-6e862d98a07e | fr_bd_839181104:e5ced9dc-526e-433c-b500-3bbd4fd357c0 | fr_bd_839181104:f5629e7e-abad-4c7d-96ea-8eb41c719a14 | fr_bd_839181104:17495d4f-5cc9-4ce6-ba1c-6ac3b412b31b,6061
GARNITURE FREIN A DI,839181104,2,fr_bd_839181104:4f21d748-62b5-4e21-98fc-3dfa53b23900 | fr_bd_839181104:def27868-2a83-4a65-8752-0f85199cf04c,60620000
GARNITURE FREIN A DISQUE,"824332985,839181104",7,fr_bd_839181104:2ec3664c-792e-438a-8699-fff8e46292e9 | fr_bd_839181104:dd776d5a-19e4-4947-854b-e713b9dbb25f | fr_bd_839181104:f1b3dd25-637b-4cde-956f-23e1dcfad510 | fr_bd_839181104:fc642081-1c3e-41ac-9274-b7cc6536c335 | fr_bd_824332985:7fb98fa3-5ce5-44e7-a9d8-18f607dc476e,6062
Internet 10Go France,831060876,7,fr_bd_831060876:2807c5f3-c318-4564-ae90-9de1a53ccb94 | fr_bd_831060876:3c182467-a35e-4096-b106-2d2913202b5e | fr_bd_831060876:83cdeab9-68a3-4dba-9781-90b6a6821b35 | fr_bd_831060876:edae4333-76e0-4d1e-be26-6efd48912b94 | fr_bd_831060876:586e8001-6d2b-476b-971b-b0e80ecc66e8,6062
Mise a disposition de boucle locale dédiée,824332985,8,fr_bd_824332985:00c00192-b9ed-4b66-8f18-c85c5b99d74f | fr_bd_824332985:dec17486-36f5-49e4-aadb-f9437dbd3086 | fr_bd_824332985:dfec6c45-c1fa-4b3a-a232-14e165cb7b82 | fr_bd_824332985:f3bf3bf7-f890-476f-8bc9-2baba92340ec | fr_bd_824332985:06312d8c-aaaa-4582-ac5e-505c48d8b684,6068
"NCS, MO-S",839181104,4,fr_bd_839181104:24849255-432f-4b88-bf5a-c8540cf41182 | fr_bd_839181104:7f363eb2-124a-430f-b890-c1d278504d01 | fr_bd_839181104:885da885-e645-497a-adc7-59af690140d2 | fr_bd_839181104:eaf922fb-9174-46de-9069-b1e1442fdce2,606200
Option Week-end internet illimité,831060876,7,fr_bd_831060876:2807c5f3-c318-4564-ae90-9de1a53ccb94 | fr_bd_831060876:3c182467-a35e-4096-b106-2d2913202b5e | fr_bd_831060876:83cdeab9-68a3-4dba-9781-90b6a6821b35 | fr_bd_831060876:edae4333-76e0-4d1e-be26-6efd48912b94 | fr_bd_831060876:586e8001-6d2b-476b-971b-b0e80ecc66e8,6062
POLISSEUSE12V+BATT.0A3000TR/MN,839181104,4,fr_bd_839181104:289c50d3-842c-4f9d-b26e-32116eeaf846 | fr_bd_839181104:6a714ce1-c3b9-492c-9198-75b818c50fa5 | fr_bd_839181104:6b863ae7-0217-4324-847a-bc3108eac22e | fr_bd_839181104:fe84cafe-bf3b-424f-986f-ff8d5758b545,606200
POMPE A EAU,839181104,2,fr_bd_839181104:24dee091-5e2c-42d7-bcf5-633036f27d0e | fr_bd_839181104:baa533f1-ba21-4f51-a27d-1847e34beaf4,6063
Pack sécurité Norton,831060876,8,fr_bd_831060876:2807c5f3-c318-4564-ae90-9de1a53ccb94 | fr_bd_831060876:3c182467-a35e-4096-b106-2d2913202b5e | fr_bd_831060876:83cdeab9-68a3-4dba-9781-90b6a6821b35 | fr_bd_831060876:edae4333-76e0-4d1e-be26-6efd48912b94 | fr_bd_831060876:37363c4a-f85f-4496-9c50-224c522ec513,6062
Pantalon,824332985,4,fr_bd_824332985:8d9bab18-bd03-42af-a23d-2e01666c28aa | fr_bd_824332985:ee0ffb25-3792-4118-8488-864e3cd070f0 | fr_bd_824332985:2f37a22c-ff70-4abc-866e-52673b9b4d7a | fr_bd_824332985:fd1bbdc7-ba24-47fa-9370-ee75333d4504,606100
RENOV.ULTIME MEGUIARS 473 ML (PROMO),839181104,4,fr_bd_839181104:289c50d3-842c-4f9d-b26e-32116eeaf846 | fr_bd_839181104:6a714ce1-c3b9-492c-9198-75b818c50fa5 | fr_bd_839181104:6b863ae7-0217-4324-847a-bc3108eac22e | fr_bd_839181104:fe84cafe-bf3b-424f-986f-ff8d5758b545,606200
Remise Commerciale,831060876,4,fr_bd_831060876:309a67f4-f607-4e01-a347-610a1d9b1f79 | fr_bd_831060876:8731df7e-92eb-4986-b33b-c29820be8078 | fr_bd_831060876:88b26cc5-6c30-42f3-bc7d-1a1e632d2a82 | fr_bd_831060876:fe05027f-9dc3-4d5d-8221-855106c72320,609
TS CART. FILTRE A HUILE,"824332985,839181104",10,fr_bd_839181104:2ec3664c-792e-438a-8699-fff8e46292e9 | fr_bd_839181104:5ad9fe47-8a27-404b-926d-96c008c0fe69 | fr_bd_839181104:63c4f300-dc0b-4a95-a4df-d21295501ca7 | fr_bd_839181104:dd776d5a-19e4-4947-854b-e713b9dbb25f | fr_bd_839181104:f1b3dd25-637b-4cde-956f-23e1dcfad510,6062
