article_source,normalized_label,invoice_count,line_occurrences,sample_account,predicted_sous_profil,predicted_nature_charge,predicted_profil_facturation,classification_reason,already_in_base,partitions
Ajustements liés à des erreurs de commande,ajustements lies a des erreurs de commande,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
"Arrachage de moquette collée. Compris : consommables, nettoyage, enlèvement et évacuation des matériaux en décharge.",arrachage de moquette collee compris consommables nettoyage enlevement et evacuation des materiaux en decharge,6,6,6063,entretien_et_maintenance,entretien,intervention_ponctuelle,keyword_or_account:entretien,False,fr_bd_832065999
BANANE DESSERT,banane dessert,6,6,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_888020088
Bbox - location équipement (du 02/05 au 01/06),bbox location equipement du 02 05 au 01 06,6,6,6062,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876 | fr_bd_839181104
CANETTE,canette,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
CHORIZO TR BQ 500G,chorizo tr bq 500g,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
COCA SANS SUCRES VC 33CL,coca sans sucres vc 33cl,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_952061570
CORNICHONS VINAIGRE 3/1.80/119 BOCAL PLA,cornichons vinaigre 3 1 80 119 bocal pla,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
COUSCOUS MOYEN DARI 12 X 1 KG,couscous moyen dari 12 x 1 kg,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CREME MASCARPONE 40%MG POT 500G,creme mascarpone 40 mg pot 500g,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
Colis,colis,6,6,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_837602275 | fr_bd_903252617
Commission Deliveroo sur le montant total des produits achetés par les clients,commission deliveroo sur le montant total des produits achetes par les clients,6,6,6227,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_880517875 | fr_bd_929728467 | fr_bd_952061570
Commission d'apport d'affaires - Transactions 1ère génération (MASTERCARD),commission d apport d affaires transactions 1ere generation mastercard,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Commission d'apport d'affaires - Transactions 2ème génération (CONECS),commission d apport d affaires transactions 2eme generation conecs,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Consommation Acheminement,consommation acheminement,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_952061570
Contrat : 100170674 - IONOS MyWebsite Now Plus - Frais d'abonnement,contrat 100170674 ionos mywebsite now plus frais d abonnement,6,6,6132,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999
Contributions et taxes liées à l'énergie - Contribution Tarifaire d'Acheminement (CTA),contributions et taxes liees a l energie contribution tarifaire d acheminement cta,6,6,6351,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_837602275 | fr_bd_929728467
Cotisation d'assistance,cotisation d assistance,6,6,616000,assurances,prime,prime_et_periode,keyword_or_account:assurance,False,fr_bd_828612630 | fr_bd_891370595
Coût d'exploitation réglementaire en France,cout d exploitation reglementaire en france,6,6,6285,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_832065999
Coût de l'échange (différence de prix + frais d'échange éventuels),cout de l echange difference de prix frais d echange eventuels,6,6,622700,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_844858571
DONUTS,donuts,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
"Déport de gouttières et descente d'eaux-pluviales. Inclus : Crochet, jonction, naissance, fond symétrique, Colliers, coudes et cuvette de branchement...",deport de gouttieres et descente d eaux pluviales inclus crochet jonction naissance fond symetrique colliers coudes et cuvette de branchement,6,6,6063,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_832065999
"E-Services (Espace client, Bilan annuel, Auto-relevé)",e services espace client bilan annuel auto releve,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_903252617
Entrée CTTE (Camionnette),entree ctte camionnette,6,6,6227,cotisations_professionnelles,frais,forfait_ou_frais,keyword_or_account:cotisation,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_903252617
FEUILLES DE BRICK MIL BRICK 2X25 PCS,feuilles de brick mil brick 2x25 pcs,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
FORMULE SAND,formule sand,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
FRAIS DE RELANCE (2),frais de relance 2,6,6,706,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_832065999
FUZETEA MENTH/CITRON VERT 33CL,fuzetea menth citron vert 33cl,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
Frais d'annulation de commande,frais d annulation de commande,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467 | fr_bd_952061570
Frais d'expédition Ticket Fleet Pro,frais d expedition ticket fleet pro,6,6,6227,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_837602275
Frais de création site Essentiel + (mensuel),frais de creation site essentiel mensuel,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_831060876
Frais de transaction - 2nd génération (Virement 2),frais de transaction 2nd generation virement 2,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_890233000
Frais techniques - Transactions 1ère génération (MASTERCARD),frais techniques transactions 1ere generation mastercard,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Frais techniques - Transactions 2ème génération (CONECS),frais techniques transactions 2eme generation conecs,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
GARDE - 0.05/Kg,garde 0 05 kg,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
HAWAI TROPICAL BOITE 33CL,hawai tropical boite 33cl,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_952061570
Interbev(dont ATM)ov a/os,interbev dont atm ov a os,6,6,6068,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Internet garanti,internet garanti,6,6,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_903252617
JAMBON CUIT SUP DD VPF BQ 16X45G,jambon cuit sup dd vpf bq 16x45g,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Jour de location,jour de location,6,6,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571
LOYER PRINCIPAL,loyer principal,6,6,6123,loyers_et_charges_locatives,loyer,loyer_et_charges,keyword_or_account:loyer,False,fr_bd_844858571
Livraison standard,livraison standard,6,6,624,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_828612630 | fr_bd_837602275
MATCH ACRYL SAT INT A+ BLANC 15L,match acryl sat int a blanc 15l,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
MC PENNE RIGATE 5KG,mc penne rigate 5kg,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
MURE PDP BQ 125G,mure pdp bq 125g,6,6,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
Mise a disposition d'une Pompe Béton (FORFAIT),mise a disposition d une pompe beton forfait,6,6,6063,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_903252617
Nettoyage complet à chaque fin de période de chantier,nettoyage complet a chaque fin de periode de chantier,6,6,706,entretien_et_maintenance,entretien,intervention_ponctuelle,keyword_or_account:entretien,False,fr_bd_842785719
OEUFS MOYENS BLANCS 10*30,oeufs moyens blancs 10 30,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
OLIVE VERTE RONDELLE BTE 3/1,olive verte rondelle bte 3 1,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
OLIVES VERTE RONDELLE 3/1 33644,olives verte rondelle 3 1 33644,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Option Majelan,option majelan,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
PERRIER EAU GAZEUSE 33CL x 24,perrier eau gazeuse 33cl x 24,6,6,6068,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_891370595
Prestation émetteur - 2nd génération (Virement 2),prestation emetteur 2nd generation virement 2,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_890233000
"RUMSTEACK - CARCASSE BEUF N° dossier : 2410600091 N° tracabilité : 0000002 Label : ; Né en : BELGIQUE ; Elevé en : BELGIQUE ; Code abattoir : 59 ; Abattu en : BELGIQUE : Atelier découpe : 94-065-243 ; Découpé en : FRANCE ; Catégorie : VACHE ; Type : VIANDE ; Race : BLANC BLEU BELGE ; Date d'abattage : Assujetti aux taxes : AGIOS, GARDE, IBGUF, RSD",rumsteack carcasse beuf n dossier 2410600091 n tracabilite 0000002 label ne en belgique eleve en belgique code abattoir 59 abattu en belgique atelier decoupe 94 065 243 decoupe en france categorie vache type viande race blanc bleu belge date d abattage assujetti aux taxes agios garde ibguf rsd,6,6,6011,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Référencement prioritaire option Connect Premium,referencement prioritaire option connect premium,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_831060876
SAUCE,sauce,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
SAUCISSE,saucisse,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
SCHWEPPES AGRUM SLIM 33CL,schweppes agrum slim 33cl,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_891370595
SUCRE GRAIN GROS N°6 10KG C25,sucre grain gros n 6 10kg c25,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Sacs,sacs,6,6,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_888020088
Solde dû pour période 10/2024,solde du pour periode 10 2024,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_519665103 | fr_bd_837602275
Tarte Citron,tarte citron,6,6,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_839181104
Taxes et contributions - Contribution au Service Public de l'Electricité (CSPE),taxes et contributions contribution au service public de l electricite cspe,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_929728467
VIENNOISERIE,viennoiserie,6,6,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_839181104 | fr_bd_890233000
VIREMENT EUROPEEN SEPA EMIS,virement europeen sepa emis,6,6,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_952061570
VIREMENT SEPA INSTANTANE,virement sepa instantane,6,6,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_952061570
Ventes nettes (après frais et TVA),ventes nettes apres frais et tva,6,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Vos services fournis par des tiers,vos services fournis par des tiers,6,6,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_839181104 | fr_bd_842785719 | fr_bd_952061570
GIGOT AGN S/0S S/V NZ HAL,gigot agn s 0s s v nz hal,5,13,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
Contribution environnementale 1%,contribution environnementale 1,5,11,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_842785719
Internet Mobile 50Go Eco,internet mobile 50go eco,5,11,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_842785719
Péage autoroutier,peage autoroutier,5,10,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_839181104 | fr_bd_903252617
Internet Mobile 1Go Eco,internet mobile 1go eco,5,9,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_842785719
Protect Avancé,protect avance,5,9,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_842785719
COEUR RTK 2.5KG+ HAL UE,coeur rtk 2 5kg hal ue,5,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
COTIS ALLO ASSIST PRO,cotis allo assist pro,5,8,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_903252617
COTISATION INTERBEV,cotisation interbev,5,8,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
CRISTALINE 50CL P/24,cristaline 50cl p 24,5,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
GAZOLE Carburant,gazole carburant,5,7,6061,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_792041840 | fr_bd_832065999
Frais de transaction - Carte Bimpli (ex Apetiz) - 1ère génération,frais de transaction carte bimpli ex apetiz 1ere generation,5,6,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_890233000
25 PATTES A VIS BOIS 7X40MM VRAC,25 pattes a vis bois 7x40mm vrac,5,5,60610000,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
4 PILONS,4 pilons,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
ABONNEMENT NON TAXABLE FORFAIT,abonnement non taxable forfait,5,5,6278,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_952061570
ABONNEMENT TAXABLE FORFAIT,abonnement taxable forfait,5,5,6278,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_952061570
ABRICOT SIROP GRECE DGF BTE 3/1,abricot sirop grece dgf bte 3 1,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
AIL PELE MC 1KG CHINE,ail pele mc 1kg chine,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
ARMATURE 4X4-1.10M X 50M CSTB,armature 4x4 1 10m x 50m cstb,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
AROME VANILLE GOURMET BTLE 1L,arome vanille gourmet btle 1l,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
Abonnement - Accès Réseaux du 01/11/2024 au 01/12/2024,abonnement acces reseaux du 01 11 2024 au 01 12 2024,5,5,6062,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_828612630 | fr_bd_837602275
Abonnement Cashmag Standard,abonnement cashmag standard,5,5,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_952061570
Annulation de l'abonnement,annulation de l abonnement,5,5,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_880517875 | fr_bd_890233000
Appels recus en Zone Europe,appels recus en zone europe,5,5,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_839181104 | fr_bd_890233000
Applications - contenus - services,applications contenus services,5,5,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_828612630 | fr_bd_831060876 | fr_bd_837602275
Avantage Internet 100Go,avantage internet 100go,5,5,6062,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876
Avantage Internet 60Go 3 euros + majelan inclus,avantage internet 60go 3 euros majelan inclus,5,5,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_839181104
BAKING POWDER LEVA16 1KG,baking powder leva16 1kg,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
BEIGNET LONG MASCOT NATURE 90G/30 502558,beignet long mascot nature 90g 30 502558,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
"BLANC PLT FUME 6T,HALAL,180G",blanc plt fume 6t halal 180g,5,5,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
BOISSON,boisson,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
BOMBE GRAISSE UNL 600ML PIECE,bombe graisse unl 600ml piece,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Bbox - location équipement (du 02/07 au 01/08),bbox location equipement du 02 07 au 01 08,5,5,6062,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/09 au 01/10),bbox location equipement du 02 09 au 01 10,5,5,6062,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/12 au 01/01),bbox location equipement du 02 12 au 01 01,5,5,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876 | fr_bd_839181104
Bbox fibre jusqu'a1 Gb/s (du 02/05 au 01/06),bbox fibre jusqu a1 gb s du 02 05 au 01 06,5,5,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_839181104
Bouteille de gaz Propane 13 kg,bouteille de gaz propane 13 kg,5,5,6068,energie_gaz,energie,abonnement_et_consommation,keyword:gaz,False,fr_bd_519665103 | fr_bd_837602275
CARTH'AGRUME CITRON LE LITRE,carth agrume citron le litre,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
CHEVRE BUCHE AFFIN CABRIFIN 23%MG 180G,chevre buche affin cabrifin 23 mg 180g,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
CHICKEN WINGS HALAL,chicken wings halal,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
CHORIZO TR D38 SURG SACHET 1KG,chorizo tr d38 surg sachet 1kg,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
COCA COLA BTE SLIM 33CLX30 0S,coca cola bte slim 33clx30 0s,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_952061570
"COM INTERV CHEQUE (eX0) (8,75 EUR *)",com interv cheque ex0 8 75 eur,5,5,627800,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_880517875
COMCOMBRE GROS,comcombre gros,5,5,60610000,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
COTIS CARTE GOLD BUSINESS,cotis carte gold business,5,5,627800,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571
CREME FRAICHE EPAISSE 15,creme fraiche epaisse 15,5,5,60610000,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
CREME FRAICHE EPAISSE 30% 5KG ISIGNY,creme fraiche epaisse 30 5kg isigny,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
CUBES DE BLEU 14X14MM 1.3KG SURGELE IQF,cubes de bleu 14x14mm 1 3kg surgele iqf,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Charge environnementale,charge environnementale,5,5,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571
Commission Deliveroo - Marketplace+,commission deliveroo marketplace,5,5,6228,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_929728467
Commission Deliveroo pour prestation de services d'achat et de livraison d'aliments et de boissons,commission deliveroo pour prestation de services d achat et de livraison d aliments et de boissons,5,5,6228,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_929728467 | fr_bd_952061570
Consommation Gaz Naturel,consommation gaz naturel,5,5,6061,energie_gaz,energie,abonnement_et_consommation,keyword:gaz,False,fr_bd_880517875
Consommation acheminement Heures creuses saison basse,consommation acheminement heures creuses saison basse,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595 | fr_bd_952061570
Consommation acheminement Heures pleines saison basse,consommation acheminement heures pleines saison basse,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595 | fr_bd_952061570
Contrat : 76925750 - IONOS List Local Plus - Frais d'abonnement,contrat 76925750 ionos list local plus frais d abonnement,5,5,6132,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999
Contributions et taxes liées à l'énergie - Accise sur l'électricité,contributions et taxes liees a l energie accise sur l electricite,5,5,6351,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_837602275 | fr_bd_929728467
Cotisation assurance automobile,cotisation assurance automobile,5,5,616000,assurances,prime,prime_et_periode,keyword_or_account:assurance,False,fr_bd_828612630
DESSERT,dessert,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
DOUBLAGE PU 10+80 2.5X1.2M SOPREMA,doublage pu 10 80 2 5x1 2m soprema,5,5,60610000,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
Domiciliation sise au 6éme étage de la tour Europa 94320 THIAIS,domiciliation sise au 6eme etage de la tour europa 94320 thiais,5,5,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_890852403
Débit : frais supplémentaires - Frais d'adhésion,debit frais supplementaires frais d adhesion,5,5,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
EAU MIN LUTECIA 50CL PET,eau min lutecia 50cl pet,5,5,6068,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_890233000
EMMENTAL RAPE EXTRA FIN 1 KG UE,emmental rape extra fin 1 kg ue,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Extension de présence,extension de presence,5,5,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_831060876
FANTA CITRON BTE SLIM 33CL,fanta citron bte slim 33cl,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000 | fr_bd_891370595
FANTA ORGE SLIM 33CL X24 PROMO,fanta orge slim 33cl x24 promo,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
FILM ETIRABLE BOITE DISTRIB 45CMX300M,film etirable boite distrib 45cmx300m,5,5,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
FRAIS DE FACTURATION,frais de facturation,5,5,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_890233000
Forfait,forfait,5,5,606200,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_903252617
